Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=18/100 | objective=-12.495018 | rate=12.912602 | r_p=0.540904 | r_c=0.104533 | r_s=0.003439 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=19/100 | objective=-12.488665 | rate=12.910510 | r_p=0.542173 | r_c=0.107718 | r_s=0.003099 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=20/100 | objective=-12.483742 | rate=12.909312 | r_p=0.542907 | r_c=0.110811 | r_s=0.002857 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=21/100 | objective=-12.482190 | rate=12.910159 | r_p=0.542388 | r_c=0.113647 | r_s=0.002658 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=22/100 | objective=-12.481940 | rate=12.911785 | r_p=0.541392 | r_c=0.116369 | r_s=0.002489 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=23/100 | objective=-12.483252 | rate=12.914328 | r_p=0.539826 | r_c=0.118947 | r_s=0.002351 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=24/100 | objective=-12.485502 | rate=12.917418 | r_p=0.537922 | r_c=0.121421 | r_s=0.002207 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=25/100 | objective=-12.485779 | rate=12.919315 | r_p=0.536755 | r_c=0.124038 | r_s=0.002012 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=26/100 | objective=-12.482369 | rate=12.919005 | r_p=0.536951 | r_c=0.126967 | r_s=0.001781 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=27/100 | objective=-12.477404 | rate=12.917771 | r_p=0.537717 | r_c=0.130039 | r_s=0.001624 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=28/100 | objective=-12.474083 | rate=12.917519 | r_p=0.537875 | r_c=0.132971 | r_s=0.001589 | status=running
