Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=39/100 | objective=-12.759357 | rate=12.922602 | r_p=0.541998 | r_c=0.166182 | r_s=8.572374e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=40/100 | objective=-12.756474 | rate=12.922648 | r_p=0.541969 | r_c=0.169111 | r_s=8.053094e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=41/100 | objective=-12.753683 | rate=12.922770 | r_p=0.541892 | r_c=0.172023 | r_s=7.703013e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=42/100 | objective=-12.750995 | rate=12.922977 | r_p=0.541765 | r_c=0.174918 | r_s=7.436293e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=43/100 | objective=-12.748319 | rate=12.923195 | r_p=0.541634 | r_c=0.177809 | r_s=7.133587e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=44/100 | objective=-12.745597 | rate=12.923372 | r_p=0.541529 | r_c=0.180707 | r_s=6.740606e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=45/100 | objective=-12.742853 | rate=12.923528 | r_p=0.541433 | r_c=0.183607 | r_s=6.316858e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=46/100 | objective=-12.740115 | rate=12.923689 | r_p=0.541335 | r_c=0.186504 | r_s=5.913984e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=2 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=1/100 | objective=-9.485620 | rate=9.514857 | r_p=0.292372 | r_c=0.030092 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=2/100 | objective=-11.058906 | rate=11.093699 | r_p=0.338044 | r_c=0.035935 | r_s=0.013888 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=3/100 | objective=-11.872309 | rate=11.910977 | r_p=0.363750 | r_c=0.039991 | r_s=0.011973 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=4/100 | objective=-12.286899 | rate=12.328147 | r_p=0.375184 | r_c=0.042656 | r_s=0.010734 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=5/100 | objective=-12.487806 | rate=12.530900 | r_p=0.379041 | r_c=0.044531 | r_s=0.009566 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=6/100 | objective=-12.614035 | rate=12.659058 | r_p=0.383227 | r_c=0.046492 | r_s=0.008925 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=7/100 | objective=-12.725454 | rate=12.772596 | r_p=0.388584 | r_c=0.048652 | r_s=0.008461 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=8/100 | objective=-12.793249 | rate=12.842256 | r_p=0.391425 | r_c=0.050539 | r_s=0.007689 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=9/100 | objective=-12.813578 | rate=12.863795 | r_p=0.388934 | r_c=0.051730 | r_s=0.006857 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=10/100 | objective=-12.813922 | rate=12.865850 | r_p=0.390418 | r_c=0.053452 | r_s=0.006147 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=11/100 | objective=-12.813116 | rate=12.866515 | r_p=0.390026 | r_c=0.054920 | r_s=0.005697 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=12/100 | objective=-12.816637 | rate=12.871499 | r_p=0.389617 | r_c=0.056380 | r_s=0.005344 | status=running
