Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=84/1000 | objective=24.182661 | rate=15.053057 | power=29.999939 | r_p=4.946943 | r_c=26.999594 | r_s=0.004454 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=85/1000 | objective=24.357590 | rate=15.059152 | power=29.979410 | r_p=4.940848 | r_c=27.210750 | r_s=0.004393 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=86/1000 | objective=24.461884 | rate=15.071320 | power=29.999939 | r_p=4.928680 | r_c=27.387256 | r_s=0.004151 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=87/1000 | objective=24.611649 | rate=15.079398 | power=29.999945 | r_p=4.920602 | r_c=27.584886 | r_s=0.004042 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=88/1000 | objective=24.764172 | rate=15.087141 | power=29.999939 | r_p=4.912859 | r_c=27.783222 | r_s=0.003953 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=89/1000 | objective=24.919544 | rate=15.094545 | power=29.999935 | r_p=4.905455 | r_c=27.982347 | r_s=0.003868 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=90/1000 | objective=25.077713 | rate=15.101621 | power=29.999935 | r_p=4.898379 | r_c=28.182275 | r_s=0.003788 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=91/1000 | objective=25.238407 | rate=15.108396 | power=29.999939 | r_p=4.891604 | r_c=28.382905 | r_s=0.003711 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=92/1000 | objective=25.401922 | rate=15.114849 | power=29.999939 | r_p=4.885151 | r_c=28.584422 | r_s=0.003637 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=93/1000 | objective=25.568140 | rate=15.120996 | power=29.999935 | r_p=4.879004 | r_c=28.786799 | r_s=0.003565 | status=running
