Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=8.365003 | rate=15.215194 | power=29.999945 | r_p=4.784806 | r_c=12.133011 | r_s=0.002540 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=8.592949 | rate=15.215313 | power=29.999950 | r_p=4.784687 | r_c=12.361647 | r_s=0.002589 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=8.821296 | rate=15.215383 | power=29.999945 | r_p=4.784617 | r_c=12.590396 | r_s=0.002542 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=9.049986 | rate=15.215410 | power=29.999945 | r_p=4.784590 | r_c=12.819247 | r_s=0.002393 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=54/1000 | objective=9.278878 | rate=15.215414 | power=29.999945 | r_p=4.784586 | r_c=13.048160 | r_s=0.002182 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=55/1000 | objective=9.507881 | rate=15.215405 | power=29.999935 | r_p=4.784595 | r_c=13.277109 | r_s=0.001954 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=56/1000 | objective=9.736804 | rate=15.215405 | power=29.999950 | r_p=4.784595 | r_c=13.506032 | r_s=0.001745 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=57/1000 | objective=9.965580 | rate=15.215422 | power=29.999945 | r_p=4.784578 | r_c=13.734907 | r_s=0.001576 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=58/1000 | objective=10.194137 | rate=15.215464 | power=29.999939 | r_p=4.784536 | r_c=13.963706 | r_s=0.001476 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=59/1000 | objective=10.422462 | rate=15.215531 | power=29.999945 | r_p=4.784469 | r_c=14.192423 | r_s=0.001471 | status=running
