Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=11/100 | objective=-15.648707 | rate=15.753775 | r_p=0.652937 | r_c=0.109332 | r_s=0.005353 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=12/100 | objective=-15.649442 | rate=15.758865 | r_p=0.653480 | r_c=0.113693 | r_s=0.004915 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=13/100 | objective=-15.652300 | rate=15.765875 | r_p=0.652801 | r_c=0.117837 | r_s=0.004519 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=14/100 | objective=-15.656115 | rate=15.774330 | r_p=0.654898 | r_c=0.122504 | r_s=0.004211 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=15/100 | objective=-15.661300 | rate=15.782817 | r_p=0.649622 | r_c=0.125737 | r_s=0.003932 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=16/100 | objective=-15.663254 | rate=15.789597 | r_p=0.652753 | r_c=0.130604 | r_s=0.003663 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=17/100 | objective=-15.663204 | rate=15.793994 | r_p=0.653680 | r_c=0.135063 | r_s=0.003423 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=18/100 | objective=-15.661832 | rate=15.795888 | r_p=0.648808 | r_c=0.138265 | r_s=0.003165 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=19/100 | objective=-15.656925 | rate=15.795269 | r_p=0.649178 | r_c=0.142559 | r_s=0.002881 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=20/100 | objective=-15.650571 | rate=15.793384 | r_p=0.650336 | r_c=0.147042 | r_s=0.002602 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=21/100 | objective=-15.646335 | rate=15.793376 | r_p=0.650329 | r_c=0.151270 | r_s=0.002400 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=22/100 | objective=-15.645356 | rate=15.796213 | r_p=0.648556 | r_c=0.155064 | r_s=0.002303 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=23/100 | objective=-15.645285 | rate=15.800579 | r_p=0.649519 | r_c=0.159513 | r_s=0.002203 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=24/100 | objective=-15.643604 | rate=15.804347 | r_p=0.654531 | r_c=0.165028 | r_s=0.002084 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=25/100 | objective=-15.641785 | rate=15.806480 | r_p=0.653212 | r_c=0.168962 | r_s=0.001931 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=26/100 | objective=-15.638196 | rate=15.807066 | r_p=0.652857 | r_c=0.173132 | r_s=0.001744 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=27/100 | objective=-15.633622 | rate=15.806800 | r_p=0.653030 | r_c=0.177443 | r_s=0.001569 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=28/100 | objective=-15.628686 | rate=15.806228 | r_p=0.653394 | r_c=0.181811 | r_s=0.001531 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=29/100 | objective=-15.623880 | rate=15.805770 | r_p=0.653679 | r_c=0.186163 | r_s=0.001449 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=30/100 | objective=-15.619645 | rate=15.805802 | r_p=0.653659 | r_c=0.190430 | r_s=0.001409 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=31/100 | objective=-15.616368 | rate=15.806644 | r_p=0.653131 | r_c=0.194542 | r_s=0.001391 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=32/100 | objective=-15.613873 | rate=15.808137 | r_p=0.652196 | r_c=0.198517 | r_s=0.001366 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=33/100 | objective=-15.611492 | rate=15.809709 | r_p=0.651210 | r_c=0.202458 | r_s=0.001336 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=34/100 | objective=-15.608501 | rate=15.810754 | r_p=0.650553 | r_c=0.206486 | r_s=0.001263 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=35/100 | objective=-15.604703 | rate=15.811116 | r_p=0.650324 | r_c=0.210642 | r_s=0.001166 | status=running
