Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=21/100 | objective=1113.954493 | rate=13.180307 | r_p=42.691141 | r_c=1158.989315 | r_s=0.002313 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=22/100 | objective=231.643253 | rate=11.372928 | r_p=25.625773 | r_c=248.785065 | r_s=0.002421 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=22/100 | objective=69.449144 | rate=11.003056 | r_p=16.660681 | r_c=84.248622 | r_s=0.002529 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=22/100 | objective=1154.701319 | rate=13.179583 | r_p=42.640352 | r_c=1204.265007 | r_s=0.002451 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=23/100 | objective=238.204850 | rate=11.373665 | r_p=25.625305 | r_c=255.347091 | r_s=0.002156 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=23/100 | objective=71.791022 | rate=11.004670 | r_p=16.575225 | r_c=86.563874 | r_s=0.002432 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=23/100 | objective=1201.832999 | rate=13.179833 | r_p=42.640180 | r_c=1258.680963 | r_s=0.002979 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=24/100 | objective=244.776613 | rate=11.373098 | r_p=25.625776 | r_c=261.918584 | r_s=0.002041 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=24/100 | objective=77.379353 | rate=10.935469 | r_p=17.095037 | r_c=92.200988 | r_s=0.002236 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=24/100 | objective=1256.140305 | rate=13.180006 | r_p=42.691388 | r_c=1306.197553 | r_s=0.003208 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=25/100 | objective=251.337743 | rate=11.373669 | r_p=25.625274 | r_c=268.480001 | r_s=0.001953 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=25/100 | objective=80.304192 | rate=10.935425 | r_p=17.095473 | r_c=95.125893 | r_s=0.002087 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=25/100 | objective=1303.738341 | rate=13.179904 | r_p=42.691459 | r_c=1359.879391 | r_s=0.004079 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=26/100 | objective=257.900951 | rate=11.373986 | r_p=25.624982 | r_c=275.043336 | r_s=0.001815 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=26/100 | objective=83.227265 | rate=10.935523 | r_p=17.095577 | r_c=98.049056 | r_s=0.002053 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=26/100 | objective=1360.923713 | rate=13.179307 | r_p=42.754834 | r_c=1449.537695 | r_s=0.003562 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=27/100 | objective=264.468804 | rate=11.373838 | r_p=25.625104 | r_c=281.611112 | r_s=0.001782 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=27/100 | objective=86.147671 | rate=10.935979 | r_p=17.095273 | r_c=100.969797 | r_s=0.001909 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=27/100 | objective=1446.888003 | rate=13.179755 | r_p=42.754391 | r_c=1501.383976 | r_s=0.003442 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=28/100 | objective=271.033248 | rate=11.374078 | r_p=25.624941 | r_c=288.175692 | r_s=0.001713 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=28/100 | objective=88.380928 | rate=10.936578 | r_p=16.978686 | r_c=103.163962 | r_s=0.001778 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=28/100 | objective=1498.631645 | rate=13.179740 | r_p=42.754331 | r_c=1577.432010 | r_s=0.002935 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=29/100 | objective=277.596880 | rate=11.374371 | r_p=25.624721 | r_c=294.739481 | r_s=0.001748 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=29/100 | objective=91.262404 | rate=10.936828 | r_p=16.978522 | r_c=106.045668 | r_s=0.001773 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=29/100 | objective=1574.629860 | rate=13.179559 | r_p=42.754601 | r_c=1626.033401 | r_s=0.002597 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=30/100 | objective=284.160011 | rate=11.374793 | r_p=25.624483 | r_c=301.302890 | r_s=0.001672 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=30/100 | objective=94.145509 | rate=10.936789 | r_p=16.978574 | r_c=108.928707 | r_s=0.001805 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=30/100 | objective=1622.562307 | rate=13.180511 | r_p=42.702405 | r_c=1697.581734 | r_s=0.003588 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=31/100 | objective=290.724720 | rate=11.375062 | r_p=25.624381 | r_c=307.867770 | r_s=0.001568 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=31/100 | objective=97.028204 | rate=10.936846 | r_p=16.978578 | r_c=111.811456 | r_s=0.001799 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=31/100 | objective=1695.484636 | rate=13.180425 | r_p=42.702441 | r_c=1767.707309 | r_s=0.003280 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=32/100 | objective=297.292769 | rate=11.374935 | r_p=25.624535 | r_c=314.435791 | r_s=0.001371 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=32/100 | objective=99.909207 | rate=10.937210 | r_p=16.978384 | r_c=114.692830 | r_s=0.001681 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=32/100 | objective=1764.668145 | rate=13.180260 | r_p=42.702655 | r_c=1818.506258 | r_s=0.002496 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=33/100 | objective=303.859283 | rate=11.374846 | r_p=25.624558 | r_c=321.002256 | r_s=0.001261 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=33/100 | objective=102.790574 | rate=10.937529 | r_p=16.978247 | r_c=117.574519 | r_s=0.001624 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=33/100 | objective=1811.241098 | rate=13.180672 | r_p=42.639386 | r_c=1872.098082 | r_s=0.002839 | status=running
