Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=24/100 | objective=76.014730 | rate=11.005177 | r_p=16.575011 | r_c=89.767216 | r_s=0.002212 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=24/100 | objective=1268.218186 | rate=13.179652 | r_p=42.703112 | r_c=1318.403283 | r_s=0.002684 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=25/100 | objective=294.048884 | rate=11.371892 | r_p=25.828956 | r_c=312.092122 | r_s=0.001936 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=25/100 | objective=81.649593 | rate=10.935349 | r_p=17.095289 | r_c=95.507433 | r_s=0.002087 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=25/100 | objective=1313.822660 | rate=13.180315 | r_p=42.639755 | r_c=1369.955247 | r_s=0.005235 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=26/100 | objective=299.490548 | rate=11.372099 | r_p=25.727204 | r_c=317.481542 | r_s=0.001826 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=26/100 | objective=84.574273 | rate=10.935291 | r_p=17.095670 | r_c=98.432185 | r_s=0.002026 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=26/100 | objective=1374.610636 | rate=13.178719 | r_p=42.818019 | r_c=1463.593040 | r_s=0.003805 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=27/100 | objective=306.103660 | rate=11.372804 | r_p=25.726792 | r_c=324.095130 | r_s=0.001943 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=27/100 | objective=87.496330 | rate=10.935539 | r_p=17.095614 | r_c=101.354464 | r_s=0.001970 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=27/100 | objective=1463.020329 | rate=13.179206 | r_p=42.880386 | r_c=1517.906847 | r_s=0.003503 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=28/100 | objective=312.719744 | rate=11.373313 | r_p=25.726628 | r_c=330.711661 | r_s=0.001876 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=28/100 | objective=89.725800 | rate=10.936409 | r_p=16.978850 | r_c=103.545020 | r_s=0.001869 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=28/100 | objective=1515.497135 | rate=13.178956 | r_p=42.892033 | r_c=1594.759673 | r_s=0.003755 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=29/100 | objective=319.338480 | rate=11.373450 | r_p=25.726648 | r_c=337.330527 | r_s=0.001715 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=29/100 | objective=92.605889 | rate=10.936931 | r_p=16.978489 | r_c=106.425510 | r_s=0.001769 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=29/100 | objective=1589.500857 | rate=13.179417 | r_p=42.828830 | r_c=1641.170661 | r_s=0.003445 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=30/100 | objective=325.954995 | rate=11.373653 | r_p=25.726506 | r_c=343.947187 | r_s=0.001768 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=30/100 | objective=95.488823 | rate=10.936844 | r_p=16.978514 | r_c=109.308365 | r_s=0.001679 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=30/100 | objective=1637.162881 | rate=13.179958 | r_p=42.765653 | r_c=1712.456047 | r_s=0.003710 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=31/100 | objective=332.571111 | rate=11.373894 | r_p=25.726342 | r_c=350.563451 | r_s=0.001645 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=31/100 | objective=98.373190 | rate=10.936553 | r_p=16.978728 | r_c=112.192513 | r_s=0.001595 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=31/100 | objective=1710.257818 | rate=13.179959 | r_p=42.765643 | r_c=1782.796710 | r_s=0.003290 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=32/100 | objective=337.805248 | rate=11.373971 | r_p=25.624760 | r_c=355.745514 | r_s=0.001622 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=32/100 | objective=101.254192 | rate=10.936933 | r_p=16.978518 | r_c=115.073824 | r_s=0.001573 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=32/100 | objective=1779.640841 | rate=13.180252 | r_p=42.765533 | r_c=1833.742043 | r_s=0.002676 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=33/100 | objective=344.367529 | rate=11.374478 | r_p=25.624509 | r_c=362.308177 | r_s=0.001738 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=33/100 | objective=104.134528 | rate=10.937485 | r_p=16.978250 | r_c=117.954621 | r_s=0.001519 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=33/100 | objective=1826.353886 | rate=13.180599 | r_p=42.702339 | r_c=1887.495573 | r_s=0.002631 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=34/100 | objective=350.929767 | rate=11.374953 | r_p=25.624264 | r_c=368.870749 | r_s=0.001573 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=34/100 | objective=107.016560 | rate=10.937785 | r_p=16.978210 | r_c=120.836941 | r_s=0.001415 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=34/100 | objective=1882.169383 | rate=13.180389 | r_p=42.639680 | r_c=1945.173386 | r_s=0.002676 | status=running
